グループ,プロジェクト,問題文,解答操作
2,1,「売上一覧」シートの印刷の向きを横向きにします。,ページレイアウトタブ＞「印刷の向き」ボタンを選択＞「横」を選択
2,1,「売上一覧」シートの売上一覧表を印刷範囲にします。,ページレイアウトタブ＞範囲A6:G176選択＞「印刷範囲の設定」を選択
2,1,「売上一覧」シートの売上一覧表の1行目を印刷時にどのページにも表示されるようにします。,ページレイアウトタブ＞「印刷タイトル」ボタン＞タイトル行のテキストボックスをクリック＞6行目を選択＞「OK」ボタン
2,1,「販売実績」シート内の余白を「広い」にします。,「販売実績」シートをクリック＞ページレイアウトタブ＞「余白」ボタンを選択＞「広い」をクリック
2,1,「販売実績」シート内の表を1ページ、グラフを2ページに印刷されるように改ページ設定してください。,表示タブ＞「改ページプレビュー」ボタンを選択＞ページ線をドラッグ＞「標準」に戻す
2,1,「模試結果」シートのテーブルの1行目を（タイトル行）折り返して全体を表示するようにします,「模試結果」シートをクリック＞表の1行目をドラッグ選択＞ホームタブ＞「折り返して全体を表示する」ボタン
2,1,「売上一覧」シートのG6に「タグを表示してください。」というメモを表示します。,「売上一覧」シートをクリック＞セルG6を選択＞校閲タブ＞「メモ」ボタン選択＞「新しいメモ」選択＞「タグを表示してください。」と入力
2,2,「試験結果」シートのテーブルの縞模様を解除します。その後、1列おきに色がつくように縞模様をつけます。,テーブル範囲選択＞テーブルデザインタブ＞「縞模様（行）」のチェックを外す＞縞模様（列）のチェックを入れる
2,2,「試験結果」シートのテーブルの最後の列を強調します。,テーブル範囲選択＞テーブルデザインタブ＞「最後の列」のチェックを入れる
2,2,「試験結果」シートのテーブルのスタイルを「オレンジ、テーブルスタイル（中間）10」にします。,
2,2,「担当者マスター」シートのテーブルを有楽町店の担当だけ表示します。データは削除しません。,
2,2,「文化祭」シートのテーブルに4日間合計の列を追加します。,
2,3,「販売実績」シートのセルA5を見出し3スタイルにしてください。,セル選択＞「セルのスタイル」ボタン選択＞「見出し3」を選択
2,3,キャンパス別試験結果シートの氏名の列C7:C26に左インデントを2つ追加します。,
2,3,キャンパス別試験結果シートのセルB4内の文字をB4とC4の中央に配置します。,
2,3,担当者マスターシートの表にG11:J16をコピーして列幅を保持して貼り付けます。,
2,3,「営業予定」シートのC10：C15の時間に取り消し線を付けます,
2,4,「文化祭」シートの表の売上グラフの列に1日目から4日目を折れ線のスパークラインを使って傾向を表示します。,
2,4,「販売実績」シート内の表の6月の商品の売り上げを3-D積み上げ縦棒グラフにします。グラフは表の右側に移動します。,「販売実績」シートを選択＞セル範囲G7:G13を選択＞Ctrlキーを押しながらセル範囲A7:A13を選択＞挿入タブ＞「縦棒/横棒グラフの挿入」ボタンを選択＞「3-D 積み上げ縦棒」を選択＞グラフをドラッグで右に移動＞グラフ選択解除
2,4,「商品売上」シートのグラフの代替テキストを「店舗売上」にします。,
2,5,「商品売上」シートのグラフをスタイル9にし、グラフタイトルを「商品売上」にします。,グラフを選択＞グラフのデザインタブ>グラフスタイルの一覧下矢印をクリック＞「スタイル9」を選択＞「グラフタイトル」を選択＞再度「グラフタイトル」内をクリック＞文字削除＞「商品売上」と入力＞グラフ選択解除
