グループ,プロジェクト,問題文
2,1,「売上一覧」シートの印刷の向きを横向きにします。
2,1,「売上一覧」シートの売上一覧表を印刷範囲にします。
2,1,「売上一覧」シートの売上一覧表の1行目を印刷時にどのページにも表示されるようにします。
2,1,「販売実績」シート内の余白を「広い」にします。
2,1,「販売実績」シート内の表を1ページ、グラフを2ページに印刷されるように改ページ設定してください。
2,1,「模試結果」シートのテーブルの1行目を（タイトル行）折り返して全体を表示するようにします
2,1,「売上一覧」シートのG6に「タグを表示してくださ。」というメモを表示します。
2,2,「試験結果」シートのテーブルの縞模様を解除します。その後、1列おきに色がつくように縞模様をつけます。
2,2,「試験結果」シートのテーブルの最後の列を強調します。
2,2,「試験結果」シートのテーブルのスタイルを「オレンジ、テーブルスタイル（中間）10」にします。
2,2,「担当者マスター」シートのテーブルを有楽町店の担当だけ表示します。データは削除しません。
2,2,「文化祭」シートのテーブルに4日間合計の列を追加します。
2,3,「販売実績」シートのセルA5を見出し3スタイルにしてください。
2,3,キャンパス別試験結果シートの氏名の列C7:C26に左インデントを2つ追加します。
2,3,キャンパス別試験結果シートのセルB4内の文字をB4とC4の中央に配置します。
2,3,担当者マスターシートの表にG11:J16をコピーして列幅を保持して貼り付けます。
2,3,「営業予定」シートのC10：C15の時間に取り消し線を付けます
2,4,「文化祭」シートの表の売上グラフの列に1日目から4日目を折れ線のスパークラインを使って傾向を表示します。
2,4,「販売実績」シート内の表の6月の商品の売り上げを3-D積み上げ縦棒グラフにします。グラフは表の右側に移動します。
2,4,「商品売上」シートのグラフの代替テキストを「店舗売上」にします。
2,5,「商品売上」シートのグラフをスタイル9にし、グラフタイトルを「商品売上」にします。
2,5,「販売実績」シート内のグラフをレイアウト2に設定し、パレットを「カラフルなパレット3」に変更します。
2,5,「販売実績」シート内のグラフの凡例を削除します。次にグラフに過去の月のデータをすべて反映し表示します。
2,5,「販売実績」シート内のグラフの数値が見えないように変更します。
2,6,「模試結果」シートの7行目を固定します。
2,6,「販売実績」シート内の表内の数値の書式を「通貨」に変更します。小数点は表示されないようにします。
2,6,「売上一覧」シートのI6のパソコンのご相談の文字に「http:pcostomer.jp」のリンクを挿入します。
2,6,プロパティのタグに「売上」と追加します。
2,7,「文化祭」シートの4日目の売上合計の最高金額をJ6に表示してください。
2,7,「文化祭」シートのテーブルのH列の式を下まで完成させてください。
2,7,「試験結果」シートのE9に合計点がある受験生の数を表示します。
2,7,「試験結果」シートのF9に合計点のない受験生の数をカウントします。
2,7,RANDBETWEEN関数を使って「模試結果」シート内の受験番号に1～22の番号を入力します。
2,7,「模試結果」シート内の学籍番号の最初の2文字が学科のアルファベットに表示されるようにします。
2,7,「売上一覧」シートの商品の種類の列に商品名を重複せずにすべて表示してください。
2,8,キャンパス別試験結果シートのB6:C26に「学生」という名前を付けてください。
2,8,「消費税」という名前付き範囲に移動し、数字を「10％」と変更します。
2,8,「文化祭」シートのJ7に全部活の金額を合計した数値を「各売上合計」を使い表示してください。ただし、セル参照や数値は使わず、名前付き範囲を使います。
2,8,キャンパス別試験結果シートの表内の学部学科の列に学部と学科を付け加えて、表を完成させてください。
2,8,「担当者マスター」シートの表のアカウントとアドレス「@win.jp」を組み合わせてメールアドレスの列に表示してください。
2,8,「売上一覧」シートのタグ列に商品型番-商品名と表示します。例：PC002-オリジナルノートPC
2,9,「担当者マスター」シートのE列に勤続年数が5より大きければ「あり」、そうでなければ「なし」と表示されるようにしてください。
2,9,「出張精算」シートの「手当金額」の列に距離が300㎞以上であれば「10000」、なければ「5000」と表示してください。
2,9,「売上一覧」シートの在庫が13％以下であれば「在庫を補充」、そうでなければ空欄が補充の有無の列に表示されるようにしてください
2,9,「模試結果」シート内の表の通し番号を関数を使って1から自動で順に表示します。
2,9,「営業予定」シートの時間変更の列に9時から15分ごとに内容が終わるように変更してください
2,9,「担当リスト」シートの売上順担当者名の列に売上が高い順に並び替えて表示します。
2,9,「売上一覧」シートの税込価格の列に税込み金額を求めてください。税込み価格は「単価×税率」で計算します。税率」はセルを参照して求めます。
2,10,「担当者マスター」シートの数式を表示します。
2,10,「売上一覧」シートの商品型番は降順、在庫は昇順に並べ替えてください。
2,10,「文化祭」シートの1日目から4日目に、条件付き書式で「3つの矢印（色分け）」を設定します。
2,10,"「文化祭」シートの1日目から4日目に、条件付き書式で「35,000」より大きいセルに「濃い黄色の文字、黄色の背景」を設定します。"
2,10,アクセシビリティチェックを行い、マイナスの通貨表示を「-6674」にします。（正解の形式が複数ある場合があります。）
2,10,「売上一覧」シートのヘッダー右側にP/Nと表示させます。Pはぺージ番号、Nはぺージ数とします
2,10,「試験結果」シートのB5を基準にし、テキストファイル「結果内容」をインポートします。受験番号、学籍番号が1行目のヘッダーになるように設定します。
