internal_name,name_local,gallery_name_raw,gallery_name_mos,screenshot_path
TableStyleLight1,テーブル スタイル (淡色) 1,"白, テーブル スタイル (淡色) 1",白、テーブルスタイル（淡色）1,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleLight1.png
TableStyleLight2,テーブル スタイル (淡色) 2,"薄い青, テーブル スタイル (淡色) 2",薄い青、テーブルスタイル（淡色）2,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleLight2.png
TableStyleLight3,テーブル スタイル (淡色) 3,"薄いオレンジ, テーブル スタイル (淡色) 3",薄いオレンジ、テーブルスタイル（淡色）3,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleLight3.png
TableStyleLight4,テーブル スタイル (淡色) 4,"白, テーブル スタイル (淡色) 4",白、テーブルスタイル（淡色）4,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleLight4.png
TableStyleLight5,テーブル スタイル (淡色) 5,"薄い黄, テーブル スタイル (淡色) 5",薄い黄、テーブルスタイル（淡色）5,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleLight5.png
TableStyleLight6,テーブル スタイル (淡色) 6,"薄い青, テーブル スタイル (淡色) 6",薄い青、テーブルスタイル（淡色）6,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleLight6.png
TableStyleLight7,テーブル スタイル (淡色) 7,"薄い緑, テーブル スタイル (淡色) 7",薄い緑、テーブルスタイル（淡色）7,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleLight7.png
TableStyleLight8,テーブル スタイル (淡色) 8,"白, テーブル スタイル (淡色) 8",白、テーブルスタイル（淡色）8,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleLight8.png
TableStyleLight9,テーブル スタイル (淡色) 9,"青, テーブル スタイル (淡色) 9",青、テーブルスタイル（淡色）9,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleLight9.png
TableStyleLight10,テーブル スタイル (淡色) 10,"オレンジ, テーブル スタイル (淡色) 10",オレンジ、テーブルスタイル（淡色）10,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleLight10.png
TableStyleLight11,テーブル スタイル (淡色) 11,"白, テーブル スタイル (淡色) 11",白、テーブルスタイル（淡色）11,C:\Users\kouza\source\repos\MOSapp\task\table_style_capture\screenshots\TableStyleLight11.png
