No,科目,種類,プロジェクト,タスク,問題文,解答操作,
1,Excel365,模擬試験2,1,1,文化祭コピーシートの表にL8:Q16をコピーして貼り付けます,文化祭コピーシートの選択↓L8:Q16を範囲選択し、コピー↓B8 を選択し、貼り付け,
2,Excel365,模擬試験2,1,2,文化祭切り取りシートの表にL8:Q16を切り取って貼り付けます,文化祭切り取りシートの選択↓L8:Q16を範囲選択し、切り取り↓B8 を選択し、貼り付け,
3,Excel365,模擬試験2,1,3,文化祭切り取りシートのテーブルのH列の式オートフィルします,文化祭切り取りシートの選択↓H 8を選択↓H8をオートフィル,
4,Excel365,模擬試験2,1,4,担当者マスターシートの表にG11:J16をコピーして列幅を揃えて貼り付けます,担当者マスターシートを選択↓　G11:J16を範囲選択、コピー↓A11を選択↓「貼り付け」の文字部分を選択↓「元の列幅を保持」を選択,
5,Excel365,模擬試験2,1,5,担当者マスターシートの売上にL11:L16をリンク貼り付けします,,担当者マスターシートを選択↓　L11:L16を範囲選択しコピー↓E11を選択↓「貼り付け」の文字部分を選択↓「リンク貼り付け」を選択
6,Excel365,模擬試験2,2,1,キャンパス別試験結果シートの表内の学部学科の列に学部と学科を付け加えて、表を完成させてください,キャンパス別試験結果シートを選択↓G7を選択↓「=con」と入力↓「CONCAT」をダブルクリック↓「関数の挿入」を選択↓「テキスト1」にセルE7:F7を選択↓「OK」をクリック,
7,Excel365,模擬試験2,2,2,キャンパス別試験結果シートの氏名の列C7:C26に左インデントを1つ追加します,キャンパス別試験結果シートを選択↓セルC7を選択↓セルC7:C26を選択↓「インデントを増やす」をクリック,
8,Excel365,模擬試験2,2,3,キャンパス別試験結果シートのセルB4内の文字をB4とC4の中央に配置します,キャンパス別試験結果シートを選択↓セルB4:C4を選択↓配置グループの右下の[配置の設定]をクリック↓インデントを増やす」をクリック,
9,Excel365,模擬試験2,2,4,キャンパス別試験結果シートのB6:C26に「学生」という名前を付けてください,キャンパス別試験結果シートを選択↓セルB6:C26を選択↓名前ボックスを選択↓ボックス内の文字を削除し「学生」と入力↓Enterキーを２回入力,
10,Excel365,模擬試験2,2,5,「消費税」という名前付き範囲に移動し、数字を「10％」と変更します,キャンパス別試験結果シートを選択↓セルB6:C26を選択↓名前ボックスを選択↓ボックス内の文字を削除し「学生」と入力↓Enterキーを２回入力,
11,Excel365,模擬試験2,3,1,担当者マスターシートのE列に勤続年数が5より大きければ「あり」、そうでなければ「なし」と表示されるようにしてください,担当者マスターシートを選択↓セルE11を選択↓「=if」と入力↓「IF」をダブルクリック↓「関数の挿入」をクリック↓「論理式」に「D11>5」を入力↓「値が真の場合」に「あり」を入力↓「値が偽の場合」に「なし」を入力↓「OK」をクリック↓セルE11をオートフィル,
12,Excel365,模擬試験2,3,2,表のアカウントとアドレス「@win.jp」を組み合わせてメールアドレスの列に表示してください,担当者マスターシートを選択↓セルF11を選択↓「=con」と入力↓「CONCAT」をダブルクリック↓「関数の挿入」をクリック↓テキスト1」に「C11」を入力↓「テキスト2」に「@win.jp」を貼り付け↓「OK」をクリック↓セルF11をオートフィル,
13,Excel365,模擬試験2,3,3,「文化祭」シートのテーブルのH列の式を下まで完成させてください,文化祭シートを選択↓セルH8を選択↓セルH8をオートフィル,
14,Excel365,模擬試験2,3,4,「文化祭」シートのテーブルに4日間合計の列を追加します,文化祭シートを選択↓テーブル内のセルを選択↓テーブルデザインタブを選択↓テーブルのサイズ変更をクリック↓B7:H16を選択↓OK」を選択,
15,Excel365,模擬試験2,3,5,「文化祭」シートの4日間の売上合計の最高金額をJ6に表示してください,文化祭シートを選択↓セルJ6を選択↓オートSUMの下矢印を選択↓「最大値」を選択↓「関数の挿入」をクリック↓「OK」を選択,
16,Excel365,模擬試験2,4,1,キャンパス別試験結果シートの氏名の列C7:C26に左インデントを1つ追加します,キャンパス別試験結果シートを選択↓セルF9を選択↓「=cou」と入力↓「COUNTBLANK」をダブルクリック↓セルH12:H61まで選択↓Enterキーを入力,
