科目,プロジェクトID,タスクID,問題文,正誤判定ロジック
Word,1,1,"あなたはゼミの研究ノートを作成しています。
編集記号を非表示にしてください。非表示にした後、再度編集記号を表示してください。","VSTOログ: ShowAllが2回以上 + 最終状態で編集記号表示ON（WordChecker1_1.CheckTask_1_1_01）"
Word,1,2,"見出し「CSR活動のメリット」の下の「社員のコンプライアンス意識の確立」から3つの段落を箇条書きにしてください。","「社員のコンプライアンス意識の確立」から連続3段落が箇条書き（wdListBullet）（WordChecker1_1.CheckTask_1_1_02）"
Word,1,3,"画像の左の段落にスタイル「参照２」を設定してください。","最後の段落（または末尾空段落の手前）にスタイル「参照2」（WordChecker1_1.CheckTask_1_1_03）"
Word,1,4,"見出し「第２節 会社の社会的責任の定義と問題点」内の小見出し「CSR活動の光と影」のスタイルを「見出し３」に変更します。","「CSR活動の光と影」段落のスタイルが「見出し3」（WordChecker1_1.CheckTask_1_1_04）"
Word,1,5,"見出し「第１節　はじめに」の下にある「会社の社会的責任」に設定されている書式をすべてクリアしてください。","「会社の社会的責任」段落の書式クリア（標準・太字/斜体/下線なし）+ VSTO ClearFormatting証跡（WordChecker1_1.CheckTask_1_1_05）"
Word,2,1,"あなたは朗読会の案内文を作成しています。
「青空文庫のURLはコチラ↓」の文字列を切り取って、見出し「朗読を楽しみましょう！」の下の段落に貼り付けます。","VSTO: Cut+Paste証跡 + 「青空文庫のURLはコチラ↓」が1箇所 + 見出し下・リンク段落直上に配置（WordChecker1_2.CheckTask_1_2_01）"
Word,2,2,"見出し「方法」の下にある箇条書きのレベルを「3」に変更します。","見出し「方法」直後の箇条書き3項目がすべてレベル3（WordChecker1_2.CheckTask_1_2_02）"
Word,2,3,"文書内の「朗読を楽しみましょう！」の文字の色を「青、アクセント1、黒+基本色25％」に変更します。","「朗読を楽しみましょう！」の文字色が青・アクセント1・黒+25%（WordChecker1_2.CheckTask_1_2_03）"
Word,2,4,"文書の一番下の図形に、「""ご参加お待ちしております""」と入力します。","最下部図形のテキストに「ご参加お待ちしております」を含む（WordChecker1_2.CheckTask_1_2_04）"
Word,2,5,"テキストボックス内の文字列を15ptの斜体にします。","2-4と同図形の文字が15pt・斜体・太字/下線なし（WordChecker1_2.CheckTask_1_2_05）"
Word,3,1,"あなたは美術館の学芸レポートを作成しています。
文書の余白を「やや狭い」に設定します。","余白が「やや狭い」+ VSTO PageMarginsModerate証跡（WordChecker1_3.CheckTask_1_3_01）"
Word,3,2,"見出し「参考文献一覧」の先頭にセクション区切りを挿入し、次のページから始まるように設定します。","「参考文献一覧」先頭に次ページからのセクション区切り（WordChecker1_3.CheckTask_1_3_02）"
Word,3,3,"見出し「参考文献一覧」で始まるセクションの印刷の向きを、「横向き」に設定します。","参考文献セクションの印刷向きが横向き（WordChecker1_3.CheckTask_1_3_03）"
Word,3,4,"見出し「参考文献一覧」で始まるセクションを2段組みに設定します。","参考文献セクションが2段組み（WordChecker1_3.CheckTask_1_3_04）"
Word,3,5,"見出し「参考文献一覧」の「●茨城県天心記念五浦美術館『･･･」の先頭に段区切りを挿入します。","「●茨城県天心記念五浦美術館…」先頭に段区切りChr(14)（WordChecker1_3.CheckTask_1_3_05）"
Word,3,6,"見出し「参考文献一覧」で始まるセクションの1段目の行間をすべて""1.3""に設定します。","参考文献セクション1段目の行間が1.3倍（WordChecker1_3.CheckTask_1_3_06）"
Word,4,1,"あなたはサークルでエコ活動の研究レポートを作成しています。
見出し「1.生活の中でできるエコ活動」に「""最新の情報を確認""」とコメントを挿入します。","「1.生活の中でできるエコ活動」にコメント「最新の情報を確認」（WordChecker1_4.CheckTask_1_4_01）"
Word,4,2,"見出し「その他」に挿入されているコメントに「""前田先生に最終確認""」と返信します。","「その他」コメントに返信「前田先生に最終確認」（WordChecker1_4.CheckTask_1_4_02）"
Word,4,3,"本文内の「エコと節約」に対するコメントを解決してください。その後、コメントを削除します。","「エコと節約」コメント解決+削除 + VSTO ReviewResolve/DeleteComment（WordChecker1_4.CheckTask_1_4_03）"
Word,4,4,"文書にスタイルセット「線（シンプル）」を設定します。","スタイルセット「線（シンプル）」+ VSTO StyleSetLineSimple（WordChecker1_4.CheckTask_1_4_04）"
Word,4,5,"ページの背景に透かし文字「サンプル２」を挿入します。","透かし「サンプル２」（OpenXMLに「サンプル」）+ VSTO Watermark証跡（WordChecker1_4.CheckTask_1_4_05）"
Word,4,6,"文書の周囲を罫線で囲みます。線の色「オリーブ、アクセント３」、線の太さを「1.5pt」に設定します。","ページ罫線：オリーブ・アクセント3・1.5pt + VSTO PageBorders（WordChecker1_4.CheckTask_1_4_06）"
Word,4,7,"ドキュメント検査を行い、透かし文字とヘッダー・フッターを削除します。その他の項目は削除しません。","透かし・ヘッダー/フッターのみ削除（他項目は残す）（WordChecker1_4.CheckTask_1_4_07）"
Word,5,1,"あなたはTOEICテスト対策セミナーの案内文を作成しています。 
「5月21日より5日間の･･･」の段落の先頭に、画像「ノートPC」を挿入します。文字列の折り返しは「上下」にします。","「5月21日より5日間の…」段落先頭の画像の折り返しが「上下」(wdWrapTopBottom) + VSTO WrapTopBottom証跡（WordChecker1_5.CheckTask_1_5_01）"
Word,5,2,"「5月21日より5日間の･･･」の段落の先頭の画像の文字列の折り返しを「狭く」に変更します。","同画像の折り返しが「狭く」(wdWrapTight) + VSTO WrapTight（WordChecker1_5.CheckTask_1_5_02）"
Word,5,3,"「5月21日より5日間の･･･」の段落の先頭の画像にアート効果「水彩：スポンジ」を設定します。","同画像にアート効果「水彩：スポンジ」(artisticWatercolorSponge)（WordChecker1_5.CheckTask_1_5_03）"
Word,5,4,"「5月21日より5日間の･･･」の段落の先頭の画像に図の効果「ぼかし25ポイント」を設定します。","同画像にぼかし25pt（softEdge 317500 EMU）（WordChecker1_5.CheckTask_1_5_04）"
Word,5,5,"「TOEICテスト対策セミナー･･･」のタイトルの右側の画像に、図の効果「面取り ハードエッジ」を設定します。","タイトル右画像に面取りハードエッジ（bevelT+hardEdge）（WordChecker1_5.CheckTask_1_5_05）"
Word,5,6,"「TOEICテスト対策セミナー･･･」のタイトルの右側の画像がスクリーンリーダーに表示されるように、代替テキスト「""セミナー案内""」を設定します。","タイトル右画像の代替テキスト「セミナー案内」（WordChecker1_5.CheckTask_1_5_06）"
Word,5,7,"「5月21日より5日間の･･･」の段落の先頭の画像の代替テキストを装飾化します。","先頭画像の代替テキスト装飾化（decorative val=1）（WordChecker1_5.CheckTask_1_5_07）"
Word,5,8,"文末の画像の背景を削除します。背景以外は削除しないようにします。","文末画像の背景削除（foregroundMark上下）（WordChecker1_5.CheckTask_1_5_08）"
Word,6,1,"あなたは催事場の売上報告書を作成しています。
見出し「（2）月別催事内容」の下にある「実施月」から「富士の水だより」までを、7行2列の文字列の幅に合わせた表に変換します。","「実施月」～「富士の水だより」が7行2列表 + VSTO TableConvertTextToTable（WordChecker1_6.CheckTask_1_6_01）"
Word,6,2,"見出し「（2）月別催事内容」の表の5行目から表を分割します。","表を5行目から分割（WordChecker1_6.CheckTask_1_6_02）"
Word,6,3,"1つ目の表の1行2列目を3列に分割します。","1つ目の表1行2列目が3列分割（1行4セル）（WordChecker1_6.CheckTask_1_6_03）"
Word,6,4,"見出し「２.北海道のうまいもの市場売上」の表の1行目に「塗りつぶし：オレンジ、アクセント カラー2；輪郭：オレンジ アクセント カラー2」の文字の効果を設定します。","北海道表1行目にオレンジ・アクセント2の文字効果（WordChecker1_6.CheckTask_1_6_04）"
Word,6,5,"見出し「2.北海道のうまいもの市場売上」の表の列幅をすべて同じにします。","北海道表の列幅がすべて同一（WordChecker1_6.CheckTask_1_6_05）"
Word,6,6,"見出し「2.北海道のうまいもの市場売上」の表の最初の行が、自動的に各ページのタイトル行として表示されるようにします。","北海道表1行目がタイトル行として各ページに繰り返し（WordChecker1_6.CheckTask_1_6_06）"
Word,6,7,"２ページの最後の空白の段落に、13行3列の表を作成します。1行目の左から「""最高売上""」「""平均売上""」「""合計売上""」と入力します。","2ページ末尾に13行3列表、1行目「最高売上」「平均売上」「合計売上」（WordChecker1_6.CheckTask_1_6_07）"
Word,7,1,"あなたは朗読会の案内文を作成しています。
文書の互換モードを解除します。メッセージが表示された場合は「OK」をクリックします。","互換モード解除 + VSTO UpgradeDocument（WordChecker1_7.CheckTask_1_7_01）"
Word,7,2,"文章のプロパティの会社名に「""ラビット出版""」と設定します。","プロパティ会社名「ラビット出版」+ VSTO SetDocumentCompany（WordChecker1_7.CheckTask_1_7_02）"
Word,7,3,"文書に「インテグラル」のヘッダーを挿入します。","ヘッダー「インテグラル」+ VSTO IntegralHeader（WordChecker1_7.CheckTask_1_7_03）"
Word,7,4,"文書に「""朗読会""」という名前を付けてテキストファイルとして保存します。ファイルの変換は既定値のままにします。","「朗読会」名で.txt保存 + VSTO FileSaveAsTxt（WordChecker1_7.CheckTask_1_7_04）"
Word,7,5,"この文書のコピーをマクロ有効文書として保存します。「名前を付けて保存」画面で読み取りパスワードを「""abc""」に設定すること。",".docm保存+読み取りパスワードabc + VSTO FileSaveAsDocm（WordChecker1_7.CheckTask_1_7_05）"
Word,8,1,"あなたはサイバーセキュリティ-対策に関するレポートを作成しています。
副題「－みんなのサイバーセキュリティ－」の下の図形に「自動作成の目次2」の目次を挿入します。","副題下図形に「自動作成の目次2」目次（WordChecker1_8.CheckTask_1_8_01）"
Word,8,2,"見出し「サイバーセキュリティって何？」の下にある「マルウェア」の後ろに「""電子機器に悪影響を与えるプログラム""」と脚注を挿入します。","「マルウェア」後に脚注「電子機器に悪影響を与えるプログラム」（WordChecker1_8.CheckTask_1_8_02）"
Word,8,3,"脚注の開始番号を「①」に変更します。","脚注開始番号が「①」(Ganada)（WordChecker1_8.CheckTask_1_8_03）"
Word,8,4,"見出し「参考文献一覧」の先頭に「§（セクション記号）」の特殊文字を挿入します。","「参考文献一覧」先頭に「§」（WordChecker1_8.CheckTask_1_8_04）"
Word,8,5,"最後のページにSmart Art「基本ベン図」を挿入し、「""機密性""」、「""完全性""」、「""可用性""」と入力します。文字列の順序は問いません。","最終ページにSmartArt基本ベン図+機密性/完全性/可用性（WordChecker1_8.CheckTask_1_8_05）"
Word,8,6,"最後のページのSmart Artの色を「カラフル」の「アクセント2から3」に変更します。","SmartArt色がカラフル・アクセント2から3（WordChecker1_8.CheckTask_1_8_06）"
Word,8,7,"文書の最下部の「TOP」と書かれた図形に、文頭に戻るリンクを挿入します","「TOP」図形に文頭へ戻るリンク（WordChecker1_8.CheckTask_1_8_07）"
Word,9,1,"あなたは催事場の売上に関する報告書を作成しています。
見出し「5月の同時キャンペーン」の下にある「4. ゴールデンウィーク」の段落番号を「1」から開始するようにします。","「4. ゴールデンウィーク」の段落番号が1から開始（WordChecker1_9.CheckTask_1_9_01）"
Word,9,2,"見出し「2. 月別催事内容」の下の表を、コンマ区切りの文字列に変更します。","「2. 月別催事内容」下の表がコンマ区切り文字列（WordChecker1_9.CheckTask_1_9_02）"
Word,9,3,"「3. 小豆島のうまいもの市場売上」の下の表のセルの右の余白を「""4""mm」にします。","小豆島表のセル右余白4mm（WordChecker1_9.CheckTask_1_9_03）"
Word,9,4,"「3. 小豆島のうまいもの市場売上」の下の表を、「合計」の降順に並べ替えます。","小豆島表が「合計」降順（WordChecker1_9.CheckTask_1_9_04）"
Word,9,5,"文書内の変更履歴を全て承認して変更履歴の記録を停止します。","変更履歴全承認+記録停止 + VSTO AcceptAllChangesInDocAndStopTracking（WordChecker1_9.CheckTask_1_9_05）"
Word,9,6,"他のユーザーが変更履歴を編集できないようにロックします。パスワードは「""654""」にします。","変更履歴ロック+パスワード654（WordChecker1_9.CheckTask_1_9_06）"
Word,10,1,"あなたはサイバーセキュリティ-対策に関するレポートを作成しています。
文書内のすべての「""ウイルス""」を「""コンピュータウイルス""」に置き換えます。","「ウイルス」がすべて「コンピュータウイルス」に置換（WordChecker1_10.CheckTask_1_10_01）"
Word,10,2,"見出し「最低限意識してほしいこと」の下の段落番号を「PCアイコン」の画像の行頭文字に変更します。","「最低限意識してほしいこと」下がPCアイコン行頭文字 + VSTO BulletDefineNew（WordChecker1_10.CheckTask_1_10_02）"
Word,10,3,"見出し「その他意識してほしいこと」の下の行頭文字をフォント「Webdings」の文字コード「""120""」にします。","「その他意識してほしいこと」下がWebdings文字120 + VSTO BulletDefineNew（WordChecker1_10.CheckTask_1_10_03）"
Word,10,4,"置換機能を使用して、文書内の全て「""事例""」を斜体に変更します。","置換で「事例」を斜体（VSTO置換証跡）（WordChecker1_10.CheckTask_1_10_04）"
Word,10,5,"文書の用紙サイズをB5に変更し、最後の2行の行間を「""1.6""行」にします。","用紙B5 + 最後2行の行間1.6行（WordChecker1_10.CheckTask_1_10_05）"
