No,科目,種類,プロジェクト,タスク,問題文,解答操作
1,Excel365,新教材,1,1,シート[売上一覧]の印刷の向きを横向きに設定します。,シート[売上一覧]を選択↓[ページレイアウト]タブ↓[印刷の向き]をクリック↓[横]をクリック
2,Excel365,新教材,1,2,シート［売上一覧］のPC関連売上一覧のタイトルを除く「単価」の列の最終セルまでが印刷されるように設定します。,シート［売上一覧］を選択↓セル範囲【A4:F131】を選択↓［ページレイアウト］タブ↓［印刷範囲］をクリック↓［印刷範囲の設定］をクリック
3,Excel365,新教材,1,3,シート［売上一覧］を印刷したときに、表の2～4行目が、すべてのページに印刷されるように設定します。,シート［売上一覧］を選択↓［ページレイアウト］タブ↓［印刷タイトル］をクリック↓［タイトル行］をクリック↓行番号【2:4】を選択↓［OK］をクリック
4,Excel365,新教材,1,4,シート［販売実績］の余白を「広い」にします。,シート［販売実績］を選択↓［ページレイアウト］タブ↓［余白］をクリック↓「広い」をクリック
5,Excel365,新教材,1,5,シート［販売実績］の改ページ位置を調整し、表が１ページ目、グラフが２ページ目に印刷されるようにします。,シート［販売実績］を選択↓［表示］タブ↓［改ページプレビュー］↓青の点線（ページの区切り）をG列の右側までドラッグ↓［標準］をクリック
6,Excel365,新教材,1,6,シート［スキルアップ検定結果］の表の１行目の文字の配置をセル内で折り返して表示されるように設定します。,シート［スキルアップ検定結果］を選択↓セル範囲【A4:K4】を選択↓［ホーム］タブ↓［折り返して全体を表示する］をクリック
7,Excel365,新教材,1,7,シート［売上一覧］のセル【G4】にメモを挿入し「最新の商品情報」と入力します。,シート［売上一覧］を選択↓セル【G4】を選択↓［校閲］タブ↓［メモ］をクリック↓[新しいメモ]をクリック↓「最新の商品情報」と入力
8,Excel365,新教材,2,1,シート［試験結果］のテーブルのテーブルスタイルの縞模様（網掛け）を解除します。次に、1列おきに色が付くように縞模様（網掛け）を設定します。,シート［試験結果］を選択↓テーブル内の任意のセルを選択↓［テーブルデザイン］タブ↓［縞模様（行）］のチェックをオフ↓［縞模様（列）］のチェックをオン
9,Excel365,新教材,2,2,シート［試験結果］のテーブルの最後の列を強調します。,シート［試験結果］を選択↓テーブル内の任意のセルを選択↓［テーブルデザイン］タブ↓［最後の列］のチェックをオン
10,Excel365,新教材,2,3,シート［試験結果］のテーブルにテーブルスタイル「オレンジ、テーブルスタイル（中間）10」を設定します。,シート［試験結果］を選択↓テーブル内の任意のセルを選択↓［テーブルデザイン］タブ↓［テーブルスタイル］グループの［クイックスタイル］ をクリック↓「オレンジ、テーブルスタイル（中間）10」を選択
11,Excel365,新教材,2,4,シート「担当者リスト」のテーブルにフィルターを使用して「学科」が「法学科」の行をすべて表示（抽出）します。データは削除しません。,シート［担当者リスト］を選択↓「学科」のフィルターボタンをクリック↓「すべての選択」のチェックをオフ↓「法学科」のチェックをオン↓［OK］をクリック
12,Excel365,新教材,2,5,シート［イベント売上］のテーブルに「合計」の列を追加して、テーブルの範囲を変更します。,シート［イベント売上］を選択↓テーブル内の任意のセルを選択↓［テーブルデザイン］タブ↓［テーブルのサイズ変更］をクリック↓既存の範囲を削除↓セル範囲【A4:G16】を選択↓［OK］をクリック
13,Excel365,新教材,3,1,シート［下半期売上］のセル【A2】に、「タイトル」のセルのスタイルを設定します。,［下半期売上］シートを選択↓セル【A2】を選択↓［ホーム］タブ↓［セルのスタイル］をクリック↓「タイトル」をクリック
14,Excel365,新教材,3,2,シート［社員リスト］のセル範囲【B5:B44】に左インデントを2文字分設定します。,シート［社員リスト］を選択↓セル範囲【B5:B44】を選択↓［ホーム］タブ↓［インデントを増やす］を2回クリック
15,Excel365,新教材,3,3,シート［社員リスト］のセル【A2】の文字の配置をセル範囲【A2:F2】の中央にします。,シート［社員リスト］を選択↓セル範囲【A2:F2】を選択↓［ホーム］タブ↓［配置］グループの右下の　　［配置の設定］をクリック↓［セルの書式設定］ダイアログボックスの［横位置］をクリック↓「選択範囲内で中央」をクリック↓［OK］をクリック
16,Excel365,新教材,3,4,シート［担当者別売上］の「担当者別売上実績」の表に、セル範囲【H5:K19】をコピーし、列幅を保持して貼り付けます。,シート［担当者別売上］を選択↓セル範囲【H5:K19】を選択↓［ホーム］タブ↓［コピー］をクリック↓セル【A5】を選択↓［貼り付け］の下側をクリック↓［元の列幅を保持］をクリック
17,Excel365,新教材,3,5,シート［業務予定］のセル範囲【C5:C11】の時間に、取り消し線を設定します。,シート［業務予定］を選択↓セル範囲【C5:C11】を選択↓［ホーム］タブ↓［フォント］グループの［フォントの設定］をクリック↓［セルの書式設定］ダイアログボックスの［取り消し線］のチェックをオン↓［OK］をクリック
18,Excel365,新教材,3,6,シート［参加者一覧］の表のタイトル「セミナー参加者リスト」のセルの結合と文字列の配置を解除します。,シート［参加者一覧］を選択↓セル【B2】を選択↓［ホーム］タブ↓［セルを結合して中央揃え］をクリックで解除
19,Excel365,新教材,3,7,シート［参加者一覧］の表の中から、「氏名」が「風間 健太郎」と「平井 元」の行を削除します。,シート［参加者一覧］を選択↓行番号【8:9】を選択↓選択した行番号内で右クリック↓［削除］をクリック
20,Excel365,新教材,4,1,シート［上半期売上］の「売上状況」の列に、1月から6月の売上の大小を表す縦棒スパークラインを挿入します。,シート［上半期売上］を選択↓セル範囲【I5:I10】を選択↓［挿入］タブ↓［縦棒］をクリック↓［データ範囲］にセル範囲【B5:G10】を選択↓［OK］をクリック
21,Excel365,新教材,4,2,シート［５年間売上］の表のデータをもとに、商品ごとに2021年度と2022年度の売上を比較する積み上げ縦棒グラフを作成します。,シート［５年間売上］を選択↓セル範囲【A4:C10】を選択↓［挿入］タブ↓［縦棒/横棒グラフの挿入］をクリック↓「積み上げ縦棒」をクリック↓グラフ以外の任意のセルをクリックし、グラフの選択を解除
