科目,プロジェクトID,タスクID,問題文,類似問題,
PowerPoint,1,1,"あなたは英語教育プログラムのご提案資料を作成しています。
スライド４に、レイアウト「テーブルスライド」のスライドを挿入します。",旧1-1,
PowerPoint,1,2,スライド４を非表示にします。,旧1-3,
PowerPoint,1,3,"スライド５のレイアウトを「テキスト１スライド」に変更します。上側の［マスターテキストのスタイルを編集する］のプレースホルダーに「""英語教育を始めたばかりのケース""」と入力します",旧1-5,
PowerPoint,1,4,スライド６の箇条書きを2段組みに変更します。,旧1-6,
PowerPoint,1,5,"スライド８の箇条書きのプレースホルダーの文字の間隔を広げます。幅を「""4""pt」にします。",旧10-3,
PowerPoint,1,6,"スライド８にセクションを追加します。セクション名は「""まとめ""」にします。",旧7-1,
PowerPoint,1,7,"スライド１のセクション名を「""はじめに""」とします。",旧11-2,
PowerPoint,1,8,"スライド１の後ろにサマリーズームスライドを挿入し［1.教育理念］、［4.募集要項］の各スライドへのリンクを作成します。スライド１と８へのリンクは含めません。タイトルに「""ご提案のポイント""」と入力します。",旧3-4,
PowerPoint,2,1,"あなたはMOS合格対策講座のコースガイダンス資料を作成しています。
すべてのスライドに、画面切り替え「スプリット」を設定します。効果のオプションを「ワイプアウト（横）」にします。",旧2-1,
PowerPoint,2,2,すべての画面切り替えの継続時間を3秒に設定します。,旧2-2,
PowerPoint,2,3,スライド3、4、5に「切り替え」の画面切り替え効果を設定します。,旧2-3,
PowerPoint,2,4,"すべてのスライドが、""５""秒後に自動で次のスライドへ進むように画面切り替えのタイミングを設定します。",,"[画面切り替え]タブ
↓
[自動]チェックボックスを
クリックしオン
↓
[自動]ボックスに「5」と
入力
↓
[すべてに適用]をクリック"
PowerPoint,2,5,スライド６の3Ｄモデル「黒板」に、アニメーション「ジャンプしてターン」を設定します。,旧2-4,
PowerPoint,2,6,"スライド2の男の子と？マークの２つの画像が、スライドの左上隅から登場するようにします。アニメーションの継続時間は""0.55""秒にします。",旧2-5,
PowerPoint,2,7,スライド「今年度募集について」の箇条書きに設定されたアニメーションの効果を「プラス」に変更します。また、クリックするとすべて同時に動くようにします。,旧2-6,
PowerPoint,2,8,スライド４の星の図形にアニメーションの軌跡「ニュートロン」を設定します。円の図形にはアニメーションを設定しません。,旧2-7,
