グループ,プロジェクト,タスク,問題文
1,2,シート［売上一覧］のPC関連売上一覧のタイトルを除5,6,シート［月別売上］のグラフに第１横軸ラベルを表示して、「"単位：円"」と入力します。
1,7,シート［売上一覧］のセル【G4】にメモを挿入し「"最新の商品情報"」と入力します。
4,4,シート［商品別売上］のグラフに、代替テキスト「"有楽町店の売上グラフ"」を追加します。
5,1,シート［売上実績］のグラフのレイアウトを「レイアウト1」、グラフタイトルを「"売上構成比"」に変更します。
6,2,シート［売上一覧］の文字列「パソコン資格講座のご相談」にハイパーリンクを挿入してください。リンク先は「"https://rabbitway.jp/service_mos"」とします。
6,4,プロパティのタグに「"売上"」と追加してください。
8,1,シート［学生名簿］のセル範囲【C5:C24】に、「"氏名"」の名前を定義します。
8,2,名前「開催日」の名前付き範囲に移動し、日付を「"5/10"」に変更します。
8,5,シート［担当者リスト］の「メールアドレス」の列に、関数を使って「アカウント」と文字列「"@rabbit.ac.jp"」をつなげて表示します。
10,1,シート［担当者リスト］の「昇給」の列に、関数を使って勤続年数が5より大きければ「"あり"」、そうでなければ「"なし"」と表示します。
10,2,シート［出張精算］の「手当金額」の列に、関数を使って「距離」が300㎞以上であれば「"10000"」、そうでなければ「"5000"」と表示します。
10,3,シート［売上一覧］の「補充の有無」の列に、関数を使って「在庫」が13%以下であれば「"在庫を補充"」と表示し、そうでなければ何も表示しないようにします。
