科目,プロジェクトID,タスクID,問題文
PowerPoint,1,1,"あなたは英語教育プログラムのご提案資料を作成しています。
スライド４に、レイアウト「テーブルスライド」のスライドを挿入します。"
PowerPoint,1,2,スライド４を非表示にします。
PowerPoint,1,3,"スライド５のレイアウトを「テキスト１スライド」に変更します。上側の［マスターテキストのスタイルを編集する］のプレースホルダーに「""英語教育を始めたばかりのケース""」と入力します"
PowerPoint,1,4,スライド６の箇条書きを2段組みに変更します。
PowerPoint,1,5,"スライド８の箇条書きのプレースホルダーの文字の間隔を広げます。幅を「""4""pt」にします。"
PowerPoint,1,6,"スライド８にセクションを追加します。セクション名は「""まとめ""」にします。"
PowerPoint,1,7,"スライド１のセクション名を「""はじめに""」とします。"
PowerPoint,1,8,"スライド１の後ろにサマリーズームスライドを挿入し［1.教育理念］、［4.募集要項］の各スライドへのリンクを作成します。スライド１と８へのリンクは含めません。タイトルに「""ご提案のポイント""」と入力します。"
PowerPoint,2,1,"あなたはMOS合格対策講座のコースガイダンス資料を作成しています。
すべてのスライドに、画面切り替え「スプリット」を設定します。効果のオプションを「ワイプアウト（横）」にします。"
PowerPoint,2,2,すべての画面切り替えの継続時間を3秒に設定します。
PowerPoint,2,3,スライド3、4、5に「切り替え」の画面切り替え効果を設定します。
PowerPoint,2,4,"すべてのスライドが、""５""秒後に自動で次のスライドへ進むように画面切り替えのタイミングを設定します。"
PowerPoint,2,5,スライド６の3Ｄモデル「黒板」に、アニメーション「ジャンプしてターン」を設定します。
PowerPoint,2,6,"スライド2の男の子と？マークの２つの画像が、スライドの左上隅から登場するようにします。アニメーションの継続時間は""0.55""秒にします。"
PowerPoint,2,7,スライド「今年度募集について」の箇条書きに設定されたアニメーションの効果を「プラス」に変更します。また、クリックするとすべて同時に動くようにします。
PowerPoint,2,8,スライド４の星の図形にアニメーションの軌跡「ニュートロン」を設定します。円の図形にはアニメーションを設定しません。
PowerPoint,3,1,"あなたはPower Point 新機能についての発表用資料を作成しています。
スライド７にSmartArtグラフィック「タイムライン」の手順を追加し、文字列「""コンテンツ""」「""デザイン""」を入力します。不要な図形は削除します。"
PowerPoint,3,2,スライド７のSmartArtグラフィックに、色「グラデーション循環-アクセント６」を設定します。
PowerPoint,3,3,スライド６の箇条書きを「ターゲットリスト」のSmartArtに変更します。
PowerPoint,3,4,"スライド１に3Dモデル「虫眼鏡」を挿入します。幅を「""2.5""」に変更して中央の楕円の図形の中に配置します。正確な位置は問いません。"
PowerPoint,3,5,"スライド10の3Dモデルのビューを上前面にし、高さを「""6.5""」に変更します。"
PowerPoint,3,6,「機能の概要」のスライドにスライドズームを挿入して「画面録画で説明」「ズーム機能で訴求力アップ」「デザインアイデアで魅力的に！」へリンクを作成します。タイトルの下に配置し、スライドズームが重ならないようにします。
PowerPoint,3,7,スライド２にセクションズームのリンクを挿入します。セクション「1.機能の概要」と「2.伝わるスライドの要素」にリンクを作成し、それぞれ文字の下に配置します。
PowerPoint,4,1,"あなたは英語教育プログラムの提案用資料を作成しています。
スライド１の青い図形に、「""教育者必見""」と入力します。"
PowerPoint,4,2,スライド４の文字列「いつでも体験可能です!」に、文字の塗りつぶし「青、アクセント1」を設定します。
PowerPoint,4,3,スライド１枚目の子供の画像に、図の効果「光彩:18pt;緑､アクセントカラー6」を設定します。
PowerPoint,4,4,スライド１の子供の画像に、スタイル「楕円 ぼかし」を設定し、「テクスチャライザー」のアート効果を設定します。
PowerPoint,4,5,スライド５の右の画像を左の画像の上端に合わせます。水平方向には動かさないようにします。
PowerPoint,4,6,スライド５の右側の画像の右端を、スライドの右端に揃えてトリミングします。画像の右端以外は変更しないでください。トリミングした領域をプレゼンテーションから完全に削除しないでください。
PowerPoint,4,7,2枚目のスライドのテキストボックスに、塗りつぶし「青、アクセント1、白+基本色60％」、枠線「濃い青」、太さ「0.75pt」を設定します。
PowerPoint,4,8,スライド３のコンテンツ領域にあるテキストボックスを、スライドの垂直方向の中央に配置します。
PowerPoint,5,1,"あなたはMOS合格対策講座のコースガイダンス資料を作成しています。
スライド３の丸の図形４個の右端を揃えます。"
PowerPoint,5,2,スライド５の小さい四角の大きさを他の四角と同じ幅にします。
PowerPoint,5,3,スライド４の星の図形をスマイルに変更します。
PowerPoint,5,4,スライド６の図形を手前から「対策講座」「PC教室」「通信講座」になるように重なりの順番を変更します。
PowerPoint,5,5,スライド６の3つの論理積ゲートの図形をグループ化します。
PowerPoint,5,6,スライド「MOSって何？」の男の子の画像の代替テキストを装飾化し、スクリーンリーダーに表示させないようにします。
PowerPoint,5,7,スライド２の[?]のアイコンに「濃い赤」の塗りつぶしを設定します。
PowerPoint,6,1,"あなたは、「伝わる」プレゼンテーションのテクニックを紹介する資料を作成しています。
プレゼンテーションからドキュメントのプロパティと個人情報を削除します。他の情報は削除しないでください。「ドキュメント検査の前にファイルを保存します。」のメッセージが表示された場合は「はい」をクリックします。"
PowerPoint,6,2,プレゼンテーションを常に読み取り専用にします。
PowerPoint,6,3,スライドショーを自動プレゼンテーションとして設定します。
PowerPoint,6,4,"スライド４，５，６を選択し、「""書式のポイント""」という名前の目的別スライドショーを作成します。スライドショーは実行しません。"
PowerPoint,6,5,"すべてのスライドをアウトラインで、部単位に""６""部印刷するように設定します。"
PowerPoint,6,6,"ノートですべてのスライドを""3""部印刷しなさい。ただし、1ページ目を全て印刷したあとに2ページ目を印刷するようにします。"
PowerPoint,6,7,"印刷オプションで、グレースケールの配布資料を、１ページに3スライドのレイアウトで""４""部印刷するように設定します。印刷は実行しないでください。"
PowerPoint,7,1,"あなたは、情報モラルの重要性について発表する資料を作成しています。
スライド１にコメント「""情報発信の責任を考える""」を挿入します。"
PowerPoint,7,2,"スライド１枚目の文字列「情報学習支援」に、Webページ「""https://rabbitway.jp/""」を表示するハイパーリンクを設定します。"
PowerPoint,7,3,スライド６の後ろに、文書「まとめ」のアウトラインを使用してスライドを挿入します。
PowerPoint,7,4,"スライドのフッターに、スライド番号と「""rabbitway.jp""」をタイトルスライド以外に追加します。"
PowerPoint,7,5,"５枚目の「事例１」と６枚目の「事例2」のフッターに「""参考事例""」と挿入します。他のスライドには表示しません。"
PowerPoint,8,1,"あなたは、「見せる！」　プレゼンテーションの極意を紹介する資料作成しています。
スライド「見せる！スライドの基本ルール」の表を、スタイル「中間スタイル４-アクセント４」に変更します。表スタイルのオプションを設定して、行が１行おきに変更されないようにします。"
PowerPoint,8,2,スライド１の背景を「濃い緑、テキスト２、白+基本色80％」に変更します。
PowerPoint,8,3,スライドのサイズを「画面に合わせる16：9」にします
PowerPoint,8,4,"スライドの大きさを、高さ「""17.46""cm」、幅「""27.54""cm」に変更します。スライドは画面に合わせます。"
PowerPoint,8,5,スライドをグレースケールで表示し、スライド２のイラストを「明るいグレースケール」にします。
PowerPoint,9,1,"あなたは、英語教育プログラムのご提案資料を作成しています。
スライド「スクールの様子」に、動画「受講の様子.mp4」を挿入します。挿入にはアイコンを使います。"
PowerPoint,9,2,"スライド５のビデオを、開始を「""4""秒」、終了を「""9""秒」に設定します。"
PowerPoint,9,3,"スライド１のオーディオを、スライドを切り替えても1回だけ再生するように設定します。再生は""3""秒かけてフェードアウトするようにします。"
PowerPoint,9,4,スライド２のプレースホルダーに表の内容を表す「集合縦棒」グラフを作成します。「結果」の列を項目、「人数」の列をデータ系列として使用します。表のデータはグラフシートにコピーまたは手入力でもかまいません。
PowerPoint,9,5,スライド２のグラフに［凡例マーカーなし］のデータテーブルを表示し、タイトルと凡例を削除します。
PowerPoint,10,1,"あなたは、日本の「四季」について紹介する資料を作成しています。
スライドマスターにテーマ「木版活字」を設定します。"
PowerPoint,10,2,スライドマスターにスライド番号を挿入します。
PowerPoint,10,3,スライドマスターの［タイトルスライド］レイアウトのスライド番号を非表示にします。
PowerPoint,10,4,スライドマスターの［２つのコンテンツ］レイアウトのスライドの背景のデザインを非表示にします。
PowerPoint,10,5,スライドマスターで［フッター］のプレースホルダーを削除します。
PowerPoint,10,6,"スライドマスターの［タイトルのみ］レイアウトをもとに「""タイトル付きの図と表""」の名前でレイアウトを作成します。図のプレースホルダーをスライドの左側、表のプレースホルダーを右側に配置します。"
PowerPoint,10,7,配布資料マスターの日付を削除します。
PowerPoint,10,8,"配布資料マスターのフッターに「""四季を楽しむ""」と表示します。"
