修正,プロジェクトID,タスク番号,問題文,正誤
済,1,5,見出し「第１節　はじめに」の下にある「会社の社会的責任」に設定されている書式をすべてクリアしてください。,✖
済,2,3,文書内の「朗読を楽しみましょう！」の文字の色を「青、アクセント1、黒+基本色25％」に変更します。,✖
,3,2,見出し「参考文献一覧」の先頭にセクション区切りを挿入し、次のページから始まるように設定します。,✖
,3,5,見出し「参考文献一覧」の「●茨城県天心記念五浦美術館『･･･」の先頭に段区切りを挿入します。,✖
,3,6,見出し「参考文献一覧」で始まるセクションの1段目の行間をすべて1.3に設定します。,✖
,4,1,見出し「1.生活の中でできるエコ活動」に「最新の情報を確認」とコメントを挿入します。,✖
,4,3,本文内の「エコと節約」に対するコメントを解決してください。その後、コメントを削除します。,✖
,4,5,ページの背景に透かし文字「下書き1」を挿入します。,✖
,4,7,ドキュメント検査を行い、透かし文字とヘッダー・フッターを削除します。その他の項目は削除しません。,✖
,5,1,「5月21日より5日間の･･･」の段落の先頭に、画像「ノートPC」を挿入します。文字列の折り返しは「行内」にします。,✖
,5,3,「5月21日より5日間の･･･」の段落の先頭の画像にアート効果「水彩：スポンジ」を設定します。,✖
,5,5,「TOEICテスト対策セミナー･･･」のタイトルの右側の画像に、図の効果「面取り ハードエッジ」を設定します。,✖
,5,8,文末の画像の背景を削除します。背景以外は削除しないようにします。,✖
,6,1,見出し「（2）月別催事内容」の下にある「実施月」から「富士の水だより」までを、7行2列の文字列の幅に合わせた表に変換します。,✖
,6,2,見出し「（2）月別催事内容」の表の5行目から表を分割します。,✖
,6,4,見出し「２.北海道のうまいもの市場売上」の表の1行目に「塗りつぶし：オレンジ、アクセント カラー2；輪郭：オレンジ アクセント カラー2」の文字の効果を設定します。,✖
,6,5,見出し「2.北海道のうまいもの市場売上」の表の列幅をすべて同じにします。,✖
,6,6,見出し「2.北海道のうまいもの市場売上」の表の最初の行が、自動的に各ページのタイトル行として表示されるようにします。,✖
,7,1,文書の互換モードを解除します。メッセージが表示された場合は「OK」をクリックします。,✖
,7,2,文章のプロパティの会社名に「ラビット出版」と設定します。,✖
,7,3,文書に「インテグラル」のヘッダーを挿入します。,✖
,7,4,文書に「朗読会」という名前を付けてテキストファイルとして保存します。ファイルの変換は既定値のままにします。,✖
,7,5,この文書のコピーをマクロ有効文書として保存します。「名前を付けて保存」画面で読み取りパスワードを「abc」に設定すること。,✖
,8,1,副題「－みんなのサイバーセキュリティ－」の下の図形に「自動作成の目次2」の目次を挿入します。,✖
,8,3,脚注の開始番号を「①」に変更します。,✖
,8,4,見出し「参考文献一覧」の先頭に「§（セクション記号）」の特殊文字を挿入します。,✖
,8,5,最後のページにSmart Art「基本ベン図」を挿入し、「機密性」、「完全性」、「可用性」と入力します。文字列の順序は問いません。,✖
,8,6,最後のページのSmart Artの色を「カラフル」の「アクセント2から3」に変更します。,✖
,8,7,文書の最下部の「TOP」と書かれた図形に、文頭に戻るリンクを挿入します,✖
,9,2,見出し「2. 月別催事内容」の下の表を、コンマ区切りの文字列に変更します。,✖
,9,3,「3. 小豆島のうまいもの市場売上」の下の表のセルの右の余白を「4mm」にします。,✖
,9,5,文書内の変更履歴を全て承認して変更履歴の記録を停止します。,✖
,10,2,見出し「最低限意識してほしいこと」の下の段落番号を「PCアイコン」の画像の行頭文字に変更します。,✖
,10,3,見出し「その他意識してほしいこと」の下の行頭文字をフォント「Webdings」の文字コード「120」にします。,✖
,10,5,文書の用紙サイズをB5に変更し、最後の2行の行間を「1.6行」にします。,✖
