タスク,問題文,解答操作
1,編集記号の表示/非表示ボタンを探してください,ホームタブ、編集記号の表示/非表示ボタン
2,箇条書きボタンを探してください,ホームタブ、箇条書きボタン
3,スタイルボタンを探してください,ホームタブ、スタイルボタン
4,すべての書式をクリアボタンを探してください,ホームタブ、すべての書式をクリアボタン
5,切り取りボタンを探してください,ホームタブ、切り取りボタン
6,貼り付けボタンを探してください,ホームタブ、貼り付けボタン
7,フォントの色ボタンを探してください,ホームタブ、フォントの色ボタン
8,斜体ボタンを探してください,ホームタブ、斜体ボタン
9,段落の設定ボタンを探してください,ホームタブ、段落の設定ボタン
10,文字の効果と体裁ボタンを探してください,ホームタブ、文字の効果と体裁ボタン
11,置換ボタンを探してください,ホームタブ、置換ボタン
12,余白ボタンを探してください,レイアウトタブ、余白ボタン
13,区切りボタンを探してください,レイアウトタブ、区切りボタン
14,印刷の向きボタンを探してください,レイアウトタブ、印刷の向きボタン
15,段組みボタンを探してください,レイアウトタブ、段組みボタン
16,サイズボタンを探してください,レイアウトタブ、サイズボタン
17,新しいコメントボタンを探してください,校閲タブ、新しいコメントボタン
18,返信ボタンを探してください,校閲タブ、返信ボタン
19,その他のスレッド操作ボタンを探してください,校閲タブ、その他のスレッド操作ボタン
20,承諾ボタンを探してください,校閲タブ、承諾ボタン
21,変更履歴の記録ボタンを探してください,校閲タブ、変更履歴の記録ボタン
22,ドキュメントの書式設定ボタンを探してください,デザインタブ、ドキュメントの書式設定ボタン
23,透かしボタンを探してください,デザインタブ、透かしボタン
24,ページ罫線ボタンを探してください,デザインタブ、ページ罫線ボタン
25,情報ボタンを探してください,ファイルタブ、情報ボタン
26,問題のチェックボタンを探してください,ファイルタブ、問題のチェックボタン
27,プロパティをすべて表示ボタンを探してください,ファイルタブ、プロパティをすべて表示ボタン
28,名前を付けて保存ボタンを探してください,ファイルタブ、名前を付けて保存ボタン
29,変換ボタンを探してください,ファイルタブ、変換ボタン
30,画像ボタンを探してください,挿入タブ、画像ボタン
31,表ボタンを探してください,挿入タブ、表ボタン
32,ヘッダーボタンを探してください,挿入タブ、ヘッダーボタン
33,記号と特殊文字ボタンを探してください,挿入タブ、記号と特殊文字ボタン
34,Smart Artボタンを探してください,挿入タブ、Smart Artボタン
35,リンクボタンを探してください,挿入タブ、リンクボタン
36,目次ボタンを探してください,参考資料タブ、目次ボタン
37,脚注の挿入ボタンを探してください,参考資料タブ、脚注の挿入ボタン
38,脚注と文末脚注ボタンを探してください,参考資料タブ、脚注と文末脚注ボタン
39,文字列の折り返しボタンを探してください,図の形式タブ、文字列の折り返しボタン
40,アート効果ボタンを探してください,図の形式タブ、アート効果ボタン
41,図の効果ボタンを探してください,図の形式タブ、図の効果ボタン
42,代替テキストボタンを探してください,図の形式タブ、代替テキストボタン
43,背景の削除ボタンを探してください,図の形式タブ、背景の削除ボタン
44,表の分割ボタンを探してください,表のレイアウトタブ、表の分割ボタン
45,セルの分割ボタンを探してください,表のレイアウトタブ、セルの分割ボタン
46,幅を揃えるボタンを探してください,表のレイアウトタブ、幅を揃えるボタン
47,タイトル行の繰り返しボタンを探してください,表のレイアウトタブ、タイトル行の繰り返しボタン
48,表の解除ボタンを探してください,表のレイアウトタブ、表の解除ボタン
49,セルの配置ボタンを探してください,表のレイアウトタブ、セルの配置ボタン
50,並べ替えボタンを探してください,表のレイアウトタブ、並べ替えボタン
51,色の変更ボタンを探してください,Smart Artのデザインタブ、色の変更ボタン

