プロジェクト番号,タスク番号,問題文,問題文
1,1,"あなたは学生情報のデータを管理・集計しています。
シート［試験結果］のテーブルのテーブルスタイルの縞模様（網掛け）を解除します。次に、1列おきに色が付くように縞模様（網掛け）を設定します。","あなたは学生情報のデータを管理・集計しています。
シート［試験結果］のテーブルのテーブルスタイルの縞模様（網掛け）を解除します。次に、1列おきに色が付くように縞模様（網掛け）を設定します。"
1,2,シート［試験結果］のテーブルの最後の列を強調します。,シート［試験結果］のテーブルの最後の列を強調します。
1,3,シート［試験結果］のテーブルにテーブルスタイル「オレンジ、テーブルスタイル（中間）10」を設定します。,シート［試験結果］のテーブルにテーブルスタイル「オレンジ、テーブルスタイル（中間）10」を設定します。
1,4,シート［担当者リスト］のテーブルにフィルターを使用して［学科］が「法学科」の行をすべて表示（抽出）します。データは削除しません。,シート［担当者リスト］のテーブルにフィルターを使用して［学科］が「法学科」の行をすべて表示（抽出）します。データは削除しません。
1,5,シート［イベント売上］のテーブルに「合計」の列を追加して、テーブルの範囲を変更します。,シート［イベント売上］のテーブルに「合計」の列を追加して、テーブルの範囲を変更します。
2,1,"あなたは社員情報を管理しています。
シート［下半期売上］のセル範囲【A11:G11】に、「集計」のセルのスタイルを設定します。","あなたは社員情報を管理しています。
シート［下半期売上］のセル範囲【A11:G11】に、「集計」のセルのスタイルを設定します。"
2,2,シート［社員リスト］のセル範囲【B5:B44】に左インデントを2文字分設定します。,シート［社員リスト］のセル範囲【B5:B44】に左インデントを2文字分設定します。
2,3,シート［社員リスト］のセル【A2】の文字の配置をセル範囲【A2:F2】の中央にします。,シート［社員リスト］のセル【A2】の文字の配置をセル範囲【A2:F2】の中央にします。
2,4,シート［担当者別売上］の「担当者別売上実績」の表に、セル範囲【H5:K19】をコピーし、列幅を保持して貼り付けます。,シート［担当者別売上］の「担当者別売上実績」の表に、セル範囲【H5:K19】をコピーし、列幅を保持して貼り付けます。
2,5,シート［業務予定］のセル範囲【C5:C11】の時間に、取り消し線を設定します。,シート［業務予定］のセル範囲【C5:C11】の時間に、取り消し線を設定します。
2,6,シート［参加者一覧］の表のタイトル「セミナー参加者リスト」のセルの結合と文字列の配置を解除します。,シート［参加者一覧］の表のタイトル「セミナー参加者リスト」のセルの結合と文字列の配置を解除します。
2,7,シート［参加者一覧］の表から「氏名」が「風間 健太郎」と「平井 元」の行を削除します。,シート［参加者一覧］の表から「氏名」が「風間 健太郎」と「平井 元」の行を削除します。
3,1,"あなたは社員の販売実績や社内検定のデータを管理しています。
シート［売上一覧］の印刷の向きを横向きに設定します。","あなたは社員の販売実績や社内検定のデータを管理しています。
シート［売上一覧］の印刷の向きを横向きに設定します。"
3,2,シート［売上一覧］のPC関連売上一覧のタイトルを除く「単価」の列の最終セルまでが印刷されるように設定します。,シート［売上一覧］のPC関連売上一覧のタイトルを除く「単価」の列の最終セルまでが印刷されるように設定します。
3,3,シート［売上一覧］を印刷したときに、2～4行目が、すべてのページに印刷されるように設定します。,シート［売上一覧］を印刷したときに、2～4行目が、すべてのページに印刷されるように設定します。
3,4,シート［販売実績］の余白を「広い」にします。,シート［販売実績］の余白を「広い」にします。
3,5,シート［販売実績］の改ページ位置を調整し、表の6月までが1ページ目、7月から2ページ目に印刷されるようにします。,シート［販売実績］の改ページ位置を調整し、表の6月までが1ページ目、7月から2ページ目に印刷されるようにします。
3,6,シート［スキルアップ検定結果］の表の１行目の文字の配置をセル内で折り返して表示されるように設定します。,シート［スキルアップ検定結果］の表の１行目の文字の配置をセル内で折り返して表示されるように設定します。
3,7,"シート［売上一覧］のセル【G4】にメモを挿入し「""最新の商品情報""」と入力します。","シート［売上一覧］のセル【G4】にメモを挿入し「""最新の商品情報""」と入力します。"
4,1,"あなたは売上実績データを集計しています。
シート［上半期売上］の「売上状況」の列に、1月から6月の売上の大小を表す縦棒スパークラインを挿入します。","あなたは売上実績データを集計しています。
シート［上半期売上］の「売上状況」の列に、1月から6月の売上の大小を表す縦棒スパークラインを挿入します。"
4,2,シート［５年間売上］の表のデータをもとに、商品ごとに2021年度と2022年度の売上を比較する積み上げ縦棒グラフを作成します。,シート［５年間売上］の表のデータをもとに、商品ごとに2021年度と2022年度の売上を比較する積み上げ縦棒グラフを作成します。
4,3,シート［下半期売上］の表のデータをもとに、売上の合計を表す3-D円グラフを作成します。凡例は商品名を表示し、グラフは表の右側に移動します。,シート［下半期売上］の表のデータをもとに、売上の合計を表す3-D円グラフを作成します。凡例は商品名を表示し、グラフは表の右側に移動します。
4,4,"シート［商品別売上］のグラフに、代替テキスト「""有楽町店の売上グラフ""」を追加します。","シート［商品別売上］のグラフに、代替テキスト「""有楽町店の売上グラフ""」を追加します。"
5,1,"あなたは商品別の売上実績データを分析しています。
シート［売上実績］のグラフのレイアウトを「レイアウト1」、グラフタイトルを「""売上構成比""」に変更します。","あなたは商品別の売上実績データを分析しています。
シート［売上実績］のグラフのレイアウトを「レイアウト1」、グラフタイトルを「""売上構成比""」に変更します。"
5,2,シート［商品別売上］のグラフのグラフスタイルを「スタイル12」、グラフの配色を「カラフルなパレット３」に変更します。,シート［商品別売上］のグラフのグラフスタイルを「スタイル12」、グラフの配色を「カラフルなパレット３」に変更します。
5,3,シート［商品別売上］のグラフに、１月から５月のデータを追加し、グラフの数値（データラベル）が見えないように設定します。,シート［商品別売上］のグラフに、１月から５月のデータを追加し、グラフの数値（データラベル）が見えないように設定します。
5,4,シート［商品別売上］のグラフに凡例を上に表示します。,シート［商品別売上］のグラフに凡例を上に表示します。
5,5,シート［月別売上］のグラフにデータラベルを内部外側に表示します。,シート［月別売上］のグラフにデータラベルを内部外側に表示します。
5,6,"シート［月別売上］のグラフに第１横軸ラベルを表示して、「""単位：円""」と入力します。","シート［月別売上］のグラフに第１横軸ラベルを表示して、「""単位：円""」と入力します。"
6,1,"あなたは販売実績データを管理しています。
シート［売上一覧］の1～4行目が、常に表示されるように設定します。","あなたは販売実績データを管理しています。
シート［売上一覧］の1～4行目が、常に表示されるように設定します。"
6,2,"シート［売上一覧］の文字列「パソコン資格講座のご相談」に、「""https://rabbitway.jp/service_mos""」のハイパーリンクを挿入します。","シート［売上一覧］の文字列「パソコン資格講座のご相談」に、「""https://rabbitway.jp/service_mos""」のハイパーリンクを挿入します。"
6,3,シート［販売実績］の「1月」から「6月」までの数値の書式を「通貨」に変更します。小数点は表示されないようにします。,シート［販売実績］の「1月」から「6月」までの数値の書式を「通貨」に変更します。小数点は表示されないようにします。
6,4,"プロパティのタイトルに「""売上一覧""」と追加します。","プロパティのタイトルに「""売上一覧""」と追加します。"
7,1,"あなたは受注データを管理・分析しています。
シート［売上報告］の数式を表示します。","あなたは受注データを管理・分析しています。
シート［売上報告］の数式を表示します。"
7,2,シート［受注明細］の表を「商品ID」の昇順で並べ替え、「商品ID」が同じ場合は「金額」の降順に並べ替えします。,シート［受注明細］の表を「商品ID」の昇順で並べ替え、「商品ID」が同じ場合は「金額」の降順に並べ替えします。
7,3,シート［下半期売上］の「7月」から「12月」の列に、アイコンセット「3つの矢印（色分け）」を設定します。,シート［下半期売上］の「7月」から「12月」の列に、アイコンセット「3つの矢印（色分け）」を設定します。
7,4,シート［下半期売上］の「7月」から「12月」の列に、条件付き書式を使って「3000」より大きいセルに「濃い黄色の文字、黄色の背景」を設定します。,シート［下半期売上］の「7月」から「12月」の列に、条件付き書式を使って「3000」より大きいセルに「濃い黄色の文字、黄色の背景」を設定します。
7,5,シート「受注明細」のヘッダーの右に現在の日付を挿入します。,シート「受注明細」のヘッダーの右に現在の日付を挿入します。
7,6,シート「受注明細」のフッターの右に「P/N」を挿入してください。「P」はページ番号、「N」は総ページ数とします。,シート「受注明細」のフッターの右に「P/N」を挿入してください。「P」はページ番号、「N」は総ページ数とします。
7,7,ブックにアクセシビリティチェックを実行し、おすすめアクションから、負の数に黒いマイナス記号を表示する形式を選択します。正解の形式が複数ある場合があります。,ブックにアクセシビリティチェックを実行し、おすすめアクションから、負の数に黒いマイナス記号を表示する形式を選択します。正解の形式が複数ある場合があります。
8,1,"あなたはクラブ・サークル所属学生のデータを管理・分析しています。
シート［イベント売上］のセル【H5】の数式をコピーして、「４日間合計」の列を完成させます。","あなたはクラブ・サークル所属学生のデータを管理・分析しています。
シート［イベント売上］のセル【H5】の数式をコピーして、「４日間合計」の列を完成させます。"
8,2,シート［イベント売上］のセル【J3】に、関数を使って「1日目」から「4日目」の「最高売上」を算出します。,シート［イベント売上］のセル【J3】に、関数を使って「1日目」から「4日目」の「最高売上」を算出します。
