フェーズ,タスク番号,タスク名,ステータス,進捗率
フェーズ1: 基本機能実装,1,UIデザイン作成,完了,100%
フェーズ1: 基本機能実装,2,タイマー機能実装,完了,100%
フェーズ1: 基本機能実装,3,エクセルのUIとアプリの合体,完了,100%
フェーズ1: 基本機能実装,4,採点機能実装,完了,100%
フェーズ1: 基本機能実装,5,模擬試験1,2にも同様のチェッカー作成,未着手,0%
フェーズ2: 機能拡張,1,文字入力系の関数変更（含むじゃなくて、確定）,未着手,0%
フェーズ2: 機能拡張,2,採点が絶対に×になるものに対して画像で補完,未着手,0%
フェーズ2: 機能拡張,3,UIに試験終了ボタンを追加,完了,100%
フェーズ2: 機能拡張,4,一時停止の機能追加,完了,100%
フェーズ2: 機能拡張,5,ルート画面にチェックボックス「時間無制限」追加、タイマー無効機能も追加、一時停止ボタンをグレーアウト、クリックできないようにする,完了,100%
フェーズ2: 機能拡張,6,試験終了後、不正解の数とどこを間違えたかの結果を送信,未着手,0%
フェーズ2: 機能拡張,7,試験終了後の自分の間違えたところを表示,未着手,0%
フェーズ3: テスト・デバッグ,1,ミス漏れないかチェック（関数のオートフィルミス、インポートミス？）,未着手,0%
フェーズ3: テスト・デバッグ,2,単体テスト,未着手,0%
フェーズ3: テスト・デバッグ,3,結合テスト,未着手,0%
フェーズ3: テスト・デバッグ,4,ユーザビリティテスト,未着手,0%
フェーズ3: テスト・デバッグ,5,バグ修正,未着手,0%
フェーズ4: リリース,1,アプリ化してデバッグ作業,未着手,0%
フェーズ4: リリース,2,ドキュメント作成,未着手,0%
フェーズ4: リリース,3,デプロイ,未着手,0%
