グループ,プロジェクト,問題文
3,1,文化祭コピーシートの表にL8:Q16をコピーして貼り付けます
3,1,文化祭切り取りシートの表にL8:Q16を切り取って貼り付けます
3,1,文化祭切り取りシートのテーブルのH列の式オートフィルします
3,1,担当者マスターシートの表にG11:J16をコピーして列幅を揃えて貼り付けます
3,1,担当者マスターシートの売上にL11:L16をリンク貼り付けします
3,2,キャンパス別試験結果シートの表内の学部学科の列に学部と学科を付け加えて、表を完成させてください
3,2,キャンパス別試験結果シートの氏名の列C7:C26に左インデントを1つ追加します
3,2,キャンパス別試験結果シートのセルB4内の文字をB4とC4の中央に配置します
3,2,キャンパス別試験結果シートのB6:C26に「学生」という名前を付けてください
3,2,「消費税」という名前付き範囲に移動し、数字を「10％」と変更します
3,3,担当者マスターシートのE列に勤続年数が5より大きければ「あり」、そうでなければ「なし」と表示されるようにしてください
3,3,表のアカウントとアドレス「@win.jp」を組み合わせてメールアドレスの列に表示してください
3,3,「文化祭」シートのテーブルのH列の式を下まで完成させてください
3,3,「文化祭」シートのテーブルに4日間合計の列を追加します
3,3,「文化祭」シートの4日間の売上合計の最高金額をJ6に表示してください
3,4,キャンパス別試験結果シートの氏名の列C7:C26に左インデントを1つ追加します
3,4,「商品売上」シートの有楽町店をもとに3-D円グラフを作成してくださいグラフは表の右側に移動します（右側であればどこでも構いません）
3,4,作成した3-D円グラフの色を「カラフルなパレット2」に変更してください
3,4,グラフをスタイル7にし、グラフタイトルを「商品売上」にします
3,4,「商品売上」シートのグラフの代替テキストを「店舗売上」にします
3,5,「試験結果」シートのB5を基準にし、テキストファイル「結果内容」をインポートします受験番号、学籍番号が1行目のヘッダーになるように設定します
3,5,「試験結果」シートのテーブルのスタイルを「緑、テーブルスタイル（濃色）11」にします
3,5,「試験結果」シートのテーブルの最後の列を強調します
3,5,「試験結果」シートのテーブルの縞模様を解除します
3,5,「担当者マスター」シートのテーブルを有楽町店の担当だけ表示しますデータは削除しません
3,5,「担当者マスター」シートの数式を表示します
3,6,「文化祭」シートの1日目から4日目に、条件付き書式で「3つの信号（枠なし）」を設定します
3,6,「文化祭」シートのB5を「見出し1」のスタイルに変更します
3,6,「売上一覧」シートの在庫が13％以下であれば「在庫を補充」、そうでなければ空欄が補充の有無の列に表示されるようにしてください
3,6,「売上一覧」シートの商品型番は降順、在庫は昇順に並べ替えてください
3,6,「売上一覧」シートのA4のタイトルをA4とB4の中央に配置します
3,6,「文化祭」シートの表の売上グラフに1日目から4日目を縦棒のスパークラインを使って傾向を表示します。
3,7,「販売実績」シート内の表の6月の商品の売り上げを集合縦棒グラフにします。グラフは表の右側に移動します。
3,7,「販売実績」シート内のグラフをレイアウト4に設定し、グラフの色をモノクロ6に変更します
3,7,「販売実績」シート内のグラフの凡例を削除します。次にグラフに過去の月のデータを反映し表示します
3,7,「販売実績」シート内のグラフの数値が見えないように変更します
3,7,アクセシビリティチェックを行い、マイナスの通貨表示を「-3288」にします。（正解の形式が複数ある場合があります。）
3,7,プロパティのタグに「売上」と追加します。
3,8,「文化祭」シートのJ8に全部活の金額を合計した数値を「各売上合計」を使い表示してください。ただし、セル参照や数値は使わず、名前付き範囲を使います
3,8,「模試結果」シートの7行目を固定します
3,8,「模試結果」シートのテーブルの1行目（タイトル行）を折り返して全体を表示するようにします
3,8,「模試結果」シート内の学籍番号の最初の2文字が学科のアルファベットに表示されるようにします
3,8,RANDBETWEEN関数を使って「模試結果」シート内の受験番号に1～22の番号を入力します。グラフは表の右側に移動します。
3,8,「模試結果」シート内の表の通し番号を関数を使って1から自動で順に表示します
3,9,「売上一覧」シートのフッター中央にP/Nと表示させます。Pはぺージ番号、Nはぺージ数とします。
3,9,「売上一覧」シートの税込価格の列に税込み金額を求めてください。税込み価格は「単価×税率」で計算します。「税率」はセルを参照して求めます。
3,9,「売上一覧」シートの売上一覧表を印刷範囲にします
3,9,「売上一覧」シートの売上一覧表の1行目をどのページにも表示します。
3,9,「出張精算」シートの距離が300㎞以上であれば「10000」、なければ「5000」と表示してください。
3,9,「販売実績」シートの売上の列に勝ち負けスパークラインを追加してください。
3,10,「売上一覧」シートのG6に「タグを表示してください。」というメモを表示します。
3,10,「売上一覧」シートのタグ列に商品型番-商品名と表示します。例：PC002-オリジナルノートPC
3,10,「売上一覧」シートの印刷の向きを横向きにします。
3,10,「売上一覧」シートのI6のパソコンのご相談の文字に「http:pcostomer.jp」のリンクを挿入します
3,10,「売上一覧」シートの商品の種類の列に商品名を重複せずにすべて表示してください。
3,10,「担当リスト」シートの売上順担当者名の列に売上が高い順に並び替えて表示します。
3,11,「販売実績」シート内の余白を「狭い」にします。
3,11,「販売実績」シート内の表内の数値の書式を「通貨」に変更します。小数点は表示されないようにします。
3,11,「販売実績」シート内の表を1ページ、グラフを2ページに印刷されるように改ページ設定してください。
3,11,「販売実績」シートのセルA5をタイトルスタイルにしてください。
3,11,「営業予定」シートの時間変更の列に11時から30分ごとに内容が終わるように変更してください。
