internal_name,gallery_name_mos,gallery_name_raw,name_local,screenshot
TableStyleMedium1,白、テーブルスタイル（中間）1,"白, テーブル スタイル (中間) 1",テーブル スタイル (中間) 1,screenshots/TableStyleMedium1.png
TableStyleMedium2,濃い青緑、テーブルスタイル（中間）2,"濃い青緑, テーブル スタイル (中間) 2",テーブル スタイル (中間) 2,screenshots/TableStyleMedium2.png
TableStyleMedium3,オレンジ、テーブルスタイル（中間）3,"オレンジ, テーブル スタイル (中間) 3",テーブル スタイル (中間) 3,screenshots/TableStyleMedium3.png
TableStyleMedium4,濃い緑、テーブルスタイル（中間）4,"濃い緑, テーブル スタイル (中間) 4",テーブル スタイル (中間) 4,screenshots/TableStyleMedium4.png
TableStyleMedium5,水色、テーブルスタイル（中間）5,"水色, テーブル スタイル (中間) 5",テーブル スタイル (中間) 5,screenshots/TableStyleMedium5.png
TableStyleMedium6,プラム、テーブルスタイル（中間）6,"プラム, テーブル スタイル (中間) 6",テーブル スタイル (中間) 6,screenshots/TableStyleMedium6.png
TableStyleMedium7,緑、テーブルスタイル（中間）7,"緑, テーブル スタイル (中間) 7",テーブル スタイル (中間) 7,screenshots/TableStyleMedium7.png
TableStyleMedium8,薄い灰色、テーブルスタイル（中間）8,"薄い灰色, テーブル スタイル (中間) 8",テーブル スタイル (中間) 8,screenshots/TableStyleMedium8.png
TableStyleMedium9,濃い青緑、テーブルスタイル（中間）9,"濃い青緑, テーブル スタイル (中間) 9",テーブル スタイル (中間) 9,screenshots/TableStyleMedium9.png
TableStyleMedium10,オレンジ、テーブルスタイル（中間）10,"オレンジ, テーブル スタイル (中間) 10",テーブル スタイル (中間) 10,screenshots/TableStyleMedium10.png
TableStyleMedium11,濃い緑、テーブルスタイル（中間）11,"濃い緑, テーブル スタイル (中間) 11",テーブル スタイル (中間) 11,screenshots/TableStyleMedium11.png
TableStyleMedium12,水色、テーブルスタイル（中間）12,"水色, テーブル スタイル (中間) 12",テーブル スタイル (中間) 12,screenshots/TableStyleMedium12.png
TableStyleMedium13,プラム、テーブルスタイル（中間）13,"プラム, テーブル スタイル (中間) 13",テーブル スタイル (中間) 13,screenshots/TableStyleMedium13.png
TableStyleMedium14,緑、テーブルスタイル（中間）14,"緑, テーブル スタイル (中間) 14",テーブル スタイル (中間) 14,screenshots/TableStyleMedium14.png
TableStyleMedium15,白、テーブルスタイル（中間）15,"白, テーブル スタイル (中間) 15",テーブル スタイル (中間) 15,screenshots/TableStyleMedium15.png
TableStyleMedium16,濃い青緑、テーブルスタイル（中間）16,"濃い青緑, テーブル スタイル (中間) 16",テーブル スタイル (中間) 16,screenshots/TableStyleMedium16.png
TableStyleMedium17,オレンジ、テーブルスタイル（中間）17,"オレンジ, テーブル スタイル (中間) 17",テーブル スタイル (中間) 17,screenshots/TableStyleMedium17.png
TableStyleMedium18,濃い緑、テーブルスタイル（中間）18,"濃い緑, テーブル スタイル (中間) 18",テーブル スタイル (中間) 18,screenshots/TableStyleMedium18.png
TableStyleMedium19,水色、テーブルスタイル（中間）19,"水色, テーブル スタイル (中間) 19",テーブル スタイル (中間) 19,screenshots/TableStyleMedium19.png
TableStyleMedium20,プラム、テーブルスタイル（中間）20,"プラム, テーブル スタイル (中間) 20",テーブル スタイル (中間) 20,screenshots/TableStyleMedium20.png
TableStyleMedium21,緑、テーブルスタイル（中間）21,"緑, テーブル スタイル (中間) 21",テーブル スタイル (中間) 21,screenshots/TableStyleMedium21.png
TableStyleMedium22,薄い灰色、テーブルスタイル（中間）22,"薄い灰色, テーブル スタイル (中間) 22",テーブル スタイル (中間) 22,screenshots/TableStyleMedium22.png
TableStyleMedium23,薄い水色、テーブルスタイル（中間）23,"薄い水色, テーブル スタイル (中間) 23",テーブル スタイル (中間) 23,screenshots/TableStyleMedium23.png
TableStyleMedium24,薄いオレンジ、テーブルスタイル（中間）24,"薄いオレンジ, テーブル スタイル (中間) 24",テーブル スタイル (中間) 24,screenshots/TableStyleMedium24.png
TableStyleMedium25,薄い緑、テーブルスタイル（中間）25,"薄い緑, テーブル スタイル (中間) 25",テーブル スタイル (中間) 25,screenshots/TableStyleMedium25.png
TableStyleMedium26,薄い水色、テーブルスタイル（中間）26,"薄い水色, テーブル スタイル (中間) 26",テーブル スタイル (中間) 26,screenshots/TableStyleMedium26.png
TableStyleMedium27,ピンク、テーブルスタイル（中間）27,"ピンク, テーブル スタイル (中間) 27",テーブル スタイル (中間) 27,screenshots/TableStyleMedium27.png
TableStyleMedium28,薄い緑、テーブルスタイル（中間）28,"薄い緑, テーブル スタイル (中間) 28",テーブル スタイル (中間) 28,screenshots/TableStyleMedium28.png
